timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1543437486299,420,getAllPersonRequestLoad,200,OK,Grupa wątków 2-71,text,true,,321,131,100,101,420,0,1
1543437486453,268,getAllPersonRequestLoad,200,OK,Grupa wątków 2-8,text,true,,321,131,100,101,268,0,0
1543437486497,225,getAllPersonRequestLoad,200,OK,Grupa wątków 2-87,text,true,,321,131,100,101,225,0,0
1543437486510,214,getAllPersonRequestLoad,200,OK,Grupa wątków 2-98,text,true,,321,131,100,101,201,0,1
1543437486457,268,getAllPersonRequestLoad,200,OK,Grupa wątków 2-70,text,true,,321,131,100,101,268,0,1
1543437486436,293,getAllPersonRequestLoad,200,OK,Grupa wątków 2-69,text,true,,321,131,100,101,291,0,0
1543437486453,276,getAllPersonRequestLoad,200,OK,Grupa wątków 2-9,text,true,,321,131,100,101,276,0,0
1543437486505,227,getAllPersonRequestLoad,200,OK,Grupa wątków 2-50,text,true,,321,131,100,101,227,0,1
1543437486454,281,getAllPersonRequestLoad,200,OK,Grupa wątków 2-57,text,true,,321,131,100,101,280,0,1
1543437486484,254,getAllPersonRequestLoad,200,OK,Grupa wątków 2-88,text,true,,321,131,100,101,253,0,1
1543437485956,783,getAllPersonRequestLoad,200,OK,Grupa wątków 2-54,text,true,,321,131,100,101,783,0,502
1543437486440,300,getAllPersonRequestLoad,200,OK,Grupa wątków 2-30,text,true,,321,131,100,101,300,0,1
1543437486532,213,getAllPersonRequestLoad,200,OK,Grupa wątków 2-39,text,true,,321,131,100,101,213,0,1
1543437486475,271,getAllPersonRequestLoad,200,OK,Grupa wątków 2-24,text,true,,321,131,100,101,271,0,1
1543437486499,248,getAllPersonRequestLoad,200,OK,Grupa wątków 2-31,text,true,,321,131,100,101,248,0,1
1543437486534,214,getAllPersonRequestLoad,200,OK,Grupa wątków 2-19,text,true,,321,131,100,101,214,0,0
1543437485754,994,getAllPersonRequest,200,OK,Grupa wątków 1-1,text,true,,321,131,1,101,994,0,506
1543437486442,308,getAllPersonRequestLoad,200,OK,Grupa wątków 2-65,text,true,,321,131,100,101,307,0,0
1543437486492,262,getAllPersonRequestLoad,200,OK,Grupa wątków 2-10,text,true,,321,131,100,101,262,0,1
1543437486445,312,getAllPersonRequestLoad,200,OK,Grupa wątków 2-46,text,true,,321,131,100,101,312,0,1
1543437486449,309,getAllPersonRequestLoad,200,OK,Grupa wątków 2-59,text,true,,321,131,100,101,309,0,1
1543437486460,301,getAllPersonRequestLoad,200,OK,Grupa wątków 2-48,text,true,,321,131,100,101,300,0,1
1543437485965,797,getAllPersonRequestLoad,200,OK,Grupa wątków 2-94,text,true,,321,131,100,101,797,0,500
1543437486467,297,getAllPersonRequestLoad,200,OK,Grupa wątków 2-42,text,true,,321,131,100,101,297,0,1
1543437486444,327,getAllPersonRequestLoad,200,OK,Grupa wątków 2-20,text,true,,321,131,100,101,327,0,0
1543437486501,273,getAllPersonRequestLoad,200,OK,Grupa wątków 2-72,text,true,,321,131,100,101,273,0,0
1543437486494,283,getAllPersonRequestLoad,200,OK,Grupa wątków 2-38,text,true,,321,131,100,101,283,0,1
1543437486447,331,getAllPersonRequestLoad,200,OK,Grupa wątków 2-75,text,true,,321,131,100,101,331,0,0
1543437486529,251,getAllPersonRequestLoad,200,OK,Grupa wątków 2-17,text,true,,321,131,100,101,251,0,1
1543437486525,264,getAllPersonRequestLoad,200,OK,Grupa wątków 2-64,text,true,,321,131,100,101,264,0,0
1543437486442,361,getAllPersonRequestLoad,200,OK,Grupa wątków 2-14,text,true,,321,131,100,101,361,0,0
1543437486522,284,getAllPersonRequestLoad,200,OK,Grupa wątków 2-89,text,true,,321,131,100,101,284,0,0
1543437486519,292,getAllPersonRequestLoad,200,OK,Grupa wątków 2-21,text,true,,321,131,100,101,291,0,1
1543437486465,349,getAllPersonRequestLoad,200,OK,Grupa wątków 2-55,text,true,,321,131,100,101,349,0,1
1543437486510,310,getAllPersonRequestLoad,200,OK,Grupa wątków 2-66,text,true,,321,131,100,101,310,0,1
1543437485945,880,getAllPersonRequestLoad,200,OK,Grupa wątków 2-83,text,true,,321,131,100,101,880,0,501
1543437486469,361,getAllPersonRequestLoad,200,OK,Grupa wątków 2-62,text,true,,321,131,100,101,361,0,0
1543437486659,176,getAllPersonRequestLoad,200,OK,Grupa wątków 2-51,text,true,,321,131,100,101,176,0,0
1543437485611,1227,getAllPersonRequestLoad,200,OK,Grupa wątków 2-63,text,true,,321,131,100,101,1227,0,1
1543437486703,136,getAllPersonRequestLoad,200,OK,Grupa wątków 2-53,text,true,,321,131,100,101,136,0,1
1543437486583,260,getAllPersonRequestLoad,200,OK,Grupa wątków 2-13,text,true,,321,131,100,101,260,0,0
